     t   Part   Pven IMPLAD
0.00000 5177.85984 2729.15359 3285.01911
0.00100 5176.89911 2729.14516 3285.28172
0.00200 5175.93917 2728.44958 3286.06991
0.00300 5174.98001 2727.17209 3287.38477
0.00400 5174.02161 2725.40495 3289.22808
0.00500 5173.06398 2723.22861 3291.60230
0.00600 5172.10708 2720.71386 3294.51053
0.00700 5171.15091 2717.92296 3297.95646
0.00800 5170.19546 2714.91085 3301.94430
0.00900 5169.24070 2711.72603 3306.47871
0.01000 5168.28663 2708.41135 3311.56477
0.01100 5167.33322 2705.00457 3317.20782
0.01200 5166.38047 2701.53895 3323.41341
0.01300 5165.42836 2698.04365 3330.18721
0.01400 5164.47687 2694.54412 3337.53489
0.01500 5163.52599 2691.06237 3345.46203
0.01600 5162.57571 2687.61735 3353.97403
0.01700 5161.62600 2684.22517 3363.07598
0.01800 5160.67686 2680.89877 3372.77261
0.01900 5159.72827 2677.65200 3383.06820
0.02000 5158.78022 2674.48095 3393.96648
0.02100 5157.83270 2671.44584 3405.47061
0.02200 5156.88569 2668.25712 3417.58310
0.02300 5155.93919 2664.88377 3430.30579
0.02400 5154.99317 2661.49100 3443.63982
0.02500 5154.04764 2658.14667 3457.58563
0.02600 5153.10257 2654.91608 3472.14293
0.02700 5152.15795 2651.83881 3487.31073
0.02800 5151.21378 2648.94045 3503.08736
0.02900 5150.27004 2646.23379 3519.47047
0.03000 5149.32672 2643.72245 3536.45709
0.03100 5148.38382 2641.40336 3554.04362
0.03200 5147.44132 2639.26887 3572.22590
0.03300 5146.49922 2637.30852 3590.99923
0.03400 5145.55751 2635.51029 3610.35841
0.03500 5144.61618 2633.86158 3630.29776
0.03600 5143.67522 2632.34989 3650.81118
0.03700 5142.73463 2630.96322 3671.89218
0.03800 5141.79441 2629.69036 3693.53389
0.03900 5140.85454 2628.52101 3715.72913
0.04000 5139.91502 2627.44581 3738.47042
0.04100 5138.97585 2626.45632 3761.74999
0.04200 5138.03702 2625.54500 3785.55985
0.04300 5137.09853 2624.70509 3809.89179
0.04400 5136.16038 2623.93059 3834.73742
0.04500 5135.22255 2623.21611 3860.08818
0.04600 5134.28505 2622.55685 3885.93537
0.04700 5133.34787 2621.94851 3912.27019
0.04800 5132.41102 2621.38723 3939.08373
0.04900 5131.47448 2620.86953 3966.36701
0.05000 5130.53825 2620.39227 3994.11101
0.05100 5129.60234 2619.95262 4022.30666
0.05200 5128.66674 2619.54799 4050.94486
0.05300 5127.73144 2619.17604 4080.01653
0.05400 5126.79644 2618.83462 4109.51258
0.05500 5125.86175 2618.52177 4139.42394
0.05600 5124.92735 2618.23569 4169.74160
0.05700 5123.99326 2617.97473 4200.45657
0.05800 5123.05946 2617.73736 4231.55992
0.05900 5122.12595 2617.52217 4263.04279
0.06000 5121.19274 2617.32787 4294.89638
0.06100 5120.25981 2617.15324 4327.11199
0.06200 5119.32717 2616.99717 4359.68097
0.06300 5118.39482 2616.85863 4392.59478
0.06400 5117.46276 2616.73664 4425.84498
0.06500 5116.53098 2616.63030 4459.42318
0.06600 5115.59948 2616.53877 4493.32114
0.06700 5114.66827 2616.46127 4527.52837
0.06800 5113.73733 2616.39706 4562.03455
0.06900 5112.80668 2616.34545 4596.83186
0.07000 5111.87630 2616.30579 4631.91596
0.07100 5110.94620 2616.27749 4667.27950
0.07200 5110.01637 2616.25997 4702.91484
0.07300 5109.08682 2616.25270 4738.81442
0.07400 5108.15755 2616.25517 4774.96655
0.07500 5107.22854 2616.26691 4811.36102
0.07600 5106.29981 2616.28748 4847.99024
0.07700 5105.37135 2616.31644 4884.85178
0.07800 5104.44316 2616.35340 4921.94096
0.07900 5103.51524 2616.39799 4959.25092
0.08000 5102.58758 2616.44985 4996.77253
0.08100 5101.66020 2616.50865 5034.50068
0.08200 5100.73308 2616.57406 5072.42943
0.08300 5099.80623 2616.64577 5110.55379
0.08400 5098.87965 2616.72352 5148.86308
0.08500 5097.95333 2616.80702 5187.35216
0.08600 5097.02728 2616.89601 5226.01543
0.08700 5096.10149 2616.99026 5264.84661
0.08800 5095.17596 2617.08953 5303.83946
0.08900 5094.25070 2617.19359 5342.98783
0.09000 5093.32569 2617.30224 5382.28564
0.09100 5092.40096 2617.41528 5421.72688
0.09200 5091.47648 2617.53252 5461.30560
0.09300 5090.55226 2617.65377 5501.01594
0.09400 5089.62831 2617.77886 5540.85215
0.09500 5088.70461 2617.90764 5580.80841
0.09600 5087.78118 2618.03993 5620.87901
0.09700 5086.85800 2618.17560 5661.05831
0.09800 5085.93509 2618.31449 5701.34073
0.09900 5085.01243 2618.45648 5741.72076
0.10000 5084.09003 2618.60144 5782.19292
0.10100 5083.16789 2618.74923 5822.75180
0.10200 5082.24600 2618.89974 5863.39202
0.10300 5081.32438 2619.05286 5904.10827
0.10400 5080.40301 2619.20848 5944.89528
0.10500 5079.48189 2619.36649 5985.74782
0.10600 5078.56104 2619.52679 6026.66088
0.10700 5077.64044 2619.68930 6067.62920
0.10800 5076.72009 2619.85392 6108.64773
0.10900 5075.80000 2620.02056 6149.71133
0.11000 5074.88017 2620.18914 6190.81500
0.11100 5073.96059 2620.35958 6231.95375
0.11200 5073.04127 2620.53181 6273.12267
